"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","protein binding","GO:0005515","3.2972091852723035e-28","27.481853498981337","14767","3120","2696","18679",
"GO:MF","DNA binding","GO:0003677","1.169497875263669e-24","23.932000562877576","2488","3120","611","18679",
"GO:MF","nucleic acid binding","GO:0003676","2.44938360983527e-15","14.610943192585374","4252","3120","898","18679",
"GO:MF","transcription regulator activity","GO:0140110","1.85496365643622e-14","13.731664594924313","1916","3120","455","18679",
"GO:MF","sequence-specific DNA binding","GO:0043565","5.766248244133106e-13","12.239106664629663","1666","3120","399","18679",
"GO:MF","transcription regulatory region nucleic acid binding","GO:0001067","1.6022957226976933e-11","10.795257326651692","1502","3120","360","18679",
"GO:MF","enzyme binding","GO:0019899","1.9099146422459685e-11","10.718986041773176","2048","3120","466","18679",
"GO:MF","heterocyclic compound binding","GO:1901363","1.963629668368645e-11","10.706940414792044","6210","3120","1219","18679",
"GO:MF","organic cyclic compound binding","GO:0097159","1.9984156128491865e-11","10.699314185981669","6291","3120","1233","18679",
"GO:MF","transcription cis-regulatory region binding","GO:0000976","2.173068599724499e-11","10.662926563595924","1500","3120","359","18679",
"GO:MF","transcription factor binding","GO:0008134","4.439530341578554e-11","10.352662971518138","556","3120","162","18679",
"GO:MF","DNA-binding transcription activator activity","GO:0001216","6.765179325007543e-11","10.169720687044325","452","3120","138","18679",
"GO:MF","double-stranded DNA binding","GO:0003690","9.622624153457636e-11","10.016706476823268","1658","3120","387","18679",
"GO:MF","sequence-specific double-stranded DNA binding","GO:1990837","3.039356654865433e-10","9.517218334421","1563","3120","366","18679",
"GO:MF","kinase binding","GO:0019900","5.13739807545677e-10","9.28925678131165","757","3120","202","18679",
"GO:MF","DNA-binding transcription activator activity, RNA polymerase II-specific","GO:0001228","5.674951702259989e-10","9.246037830263692","446","3120","134","18679",
"GO:MF","protein kinase binding","GO:0019901","9.744406907839517e-10","9.011244589023638","677","3120","184","18679",
"GO:MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding","GO:0000977","1.400491739568113e-9","8.853719448404545","1401","3120","331","18679",
"GO:MF","DNA-binding transcription factor activity","GO:0003700","1.8157922708557084e-9","8.740933836861903","1419","3120","334","18679",
"GO:MF","binding","GO:0005488","1.9239344395018114e-9","8.71580973117955","17070","3120","2945","18679",
"GO:MF","protein kinase activity","GO:0004672","2.166381437232441e-9","8.664265074256978","585","3120","163","18679",
"GO:MF","RNA polymerase II cis-regulatory region sequence-specific DNA binding","GO:0000978","6.1775148942609225e-9","8.209186198821467","1184","3120","285","18679",
"GO:MF","DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","6.2571655882427625e-9","8.203622351797526","1361","3120","320","18679",
"GO:MF","cis-regulatory region sequence-specific DNA binding","GO:0000987","9.123723860762144e-9","8.039827867582375","1203","3120","288","18679",
"GO:MF","passive transmembrane transporter activity","GO:0022803","2.997616505186357e-8","7.523223928637362","483","3120","137","18679",
"GO:MF","channel activity","GO:0015267","2.997616505186357e-8","7.523223928637362","483","3120","137","18679",
"GO:MF","tubulin binding","GO:0015631","3.668764103639807e-8","7.43548021186932","381","3120","114","18679",
"GO:MF","gated channel activity","GO:0022836","4.7948963997370475e-8","7.319220771915338","343","3120","105","18679",
"GO:MF","chromatin binding","GO:0003682","2.960633800824158e-7","6.528615306935801","573","3120","153","18679",
"GO:MF","phosphotransferase activity, alcohol group as acceptor","GO:0016773","4.052894172296861e-7","6.392234736250301","690","3120","177","18679",
"GO:MF","microtubule binding","GO:0008017","4.98606654073777e-7","6.302241929987399","273","3120","86","18679",
"GO:MF","voltage-gated channel activity","GO:0022832","0.0000010631974324894832","5.973386080839775","201","3120","68","18679",
"GO:MF","protein serine/threonine kinase activity","GO:0004674","0.0000011250836086880627","5.948815202492491","438","3120","122","18679",
"GO:MF","cytoskeletal protein binding","GO:0008092","0.00000114072104468298","5.942820546262513","1001","3120","238","18679",
"GO:MF","voltage-gated ion channel activity","GO:0005244","0.0000021964828496543245","5.658272183397782","200","3120","67","18679",
"GO:MF","ion channel activity","GO:0005216","0.0000024376915265877946","5.613021252276607","434","3120","120","18679",
"GO:MF","protein serine kinase activity","GO:0106310","0.000005072816691163932","5.294750830853174","361","3120","103","18679",
"GO:MF","protein threonine kinase activity","GO:0106311","0.000005072816691163932","5.294750830853174","361","3120","103","18679",
"GO:MF","DNA-binding transcription factor binding","GO:0140297","0.000005965050019879028","5.224385910205481","234","3120","74","18679",
"GO:MF","voltage-gated sodium channel activity","GO:0005248","0.000013007647801586559","4.885801230659773","23","3120","16","18679",
"GO:MF","beta-catenin binding","GO:0008013","0.000021173631560513744","4.674204648289916","87","3120","36","18679",
"GO:MF","protein domain specific binding","GO:0019904","0.000021842746321997413","4.660692758022929","706","3120","173","18679",
"GO:MF","transferase activity, transferring phosphorus-containing groups","GO:0016772","0.000022119815268228963","4.65521850432592","947","3120","221","18679",
"GO:MF","kinase activity","GO:0016301","0.000027820465888343852","4.5556356014811845","793","3120","190","18679",
"GO:MF","cation channel activity","GO:0005261","0.00004116090118990492","4.3855151252235425","338","3120","95","18679",
"GO:MF","sodium channel activity","GO:0005272","0.00017465021104613382","3.7578308852275026","44","3120","22","18679",
"GO:MF","RNA polymerase II-specific DNA-binding transcription factor binding","GO:0061629","0.00020554835173913053","3.687086001410853","196","3120","61","18679",
"GO:MF","ATP binding","GO:0005524","0.000640872352000267","3.1932284639951534","1500","3120","318","18679",
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","0.0006629902839146918","3.1784928361097884","429","3120","110","18679",
"GO:MF","transcription coregulator activity","GO:0003712","0.0014380361142870425","2.8422302071112484","509","3120","125","18679",
"GO:MF","adenyl ribonucleotide binding","GO:0032559","0.002252670898236485","2.647302251471805","1564","3120","326","18679",
"GO:MF","protein tyrosine kinase activity","GO:0004713","0.0023920325691201153","2.621232911434107","144","3120","46","18679",
"GO:MF","histone acetyltransferase binding","GO:0035035","0.0024015383284289654","2.619510477651975","27","3120","15","18679",
"GO:MF","histone deacetylase binding","GO:0042826","0.0025044167050443417","2.601293408031634","115","3120","39","18679",
"GO:MF","adenyl nucleotide binding","GO:0030554","0.0025539908135095413","2.5927806691905713","1577","3120","328","18679",
"GO:MF","ligand-gated channel activity","GO:0022834","0.0031005933451809446","2.508555189430154","141","3120","45","18679",
"GO:MF","ligand-gated ion channel activity","GO:0015276","0.0031005933451809446","2.508555189430154","141","3120","45","18679",
"GO:MF","voltage-gated cation channel activity","GO:0022843","0.004673477236530846","2.3303598683210294","143","3120","45","18679",
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","0.0059226355665495745","2.2274849896798137","721","3120","164","18679",
"GO:MF","transcription coactivator activity","GO:0003713","0.007974152437471732","2.0983154664263175","282","3120","75","18679",
"GO:MF","MAP kinase kinase kinase activity","GO:0004709","0.008102178922596699","2.09139817040466","26","3120","14","18679",
"GO:MF","sodium ion transmembrane transporter activity","GO:0015081","0.01917622339961837","1.7172369194908619","146","3120","44","18679",
"GO:MF","identical protein binding","GO:0042802","0.021235859821818248","1.6729301501048375","2063","3120","409","18679",
"GO:MF","transmembrane receptor protein tyrosine kinase activity","GO:0004714","0.02689830633521838","1.5702750646974237","126","3120","39","18679",
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","0.027536544224019854","1.5600905636655156","596","3120","136","18679",
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","0.03367769150517745","1.472657685608358","1846","3120","368","18679",
"GO:MF","protein-containing complex binding","GO:0044877","0.034373969758803524","1.463770309445947","1304","3120","269","18679",
"GO:BP","cellular component organization or biogenesis","GO:0071840","1.768640773839544e-36","35.7523603670799","6880","2999","1462","18123",
"GO:BP","cellular component organization","GO:0016043","1.608384844395083e-35","34.793610027851265","6661","2999","1420","18123",
"GO:BP","positive regulation of nucleobase-containing compound metabolic process","GO:0045935","2.831997203585915e-29","28.54790717981977","1943","2999","516","18123",
"GO:BP","system development","GO:0048731","1.9512350693167874e-28","27.709690407100897","5095","2999","1112","18123",
"GO:BP","multicellular organism development","GO:0007275","2.4608936556310325e-28","27.608907153371767","5670","2999","1214","18123",
